"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2009","411.64","336.31","431.39","336.31","1.03M","27.99%"
"06/01/2009","448.29","418.75","525.22","418.44","1.19M","8.90%"
"07/01/2009","466.76","439.58","472.58","411.39","794.83K","4.12%"
"08/01/2009","546.78","466.82","547.38","465.36","1.17M","17.14%"
"09/01/2009","580.90","545.05","594.32","513.49","1.47M","6.24%"
"10/01/2009","587.12","581.80","633.21","543.20","1.80M","1.07%"
"11/01/2009","504.12","565.85","569.71","461.48","1.13M","-14.14%"
"12/01/2009","494.77","513.42","518.32","427.06","1.04M","-1.85%"
"01/01/2010","481.96","501.74","544.49","471.85","889.88K","-2.59%"
"02/01/2010","496.91","482.93","513.19","481.84","402.92K","3.10%"
"03/01/2010","499.24","502.57","538.01","499.24","1.17M","0.47%"
"04/01/2010","542.37","500.31","542.74","499.99","1.17M","8.64%"
"05/01/2010","507.44","544.52","551.40","479.56","1.25M","-6.44%"
"06/01/2010","507.14","505.18","516.22","493.20","1.08M","-0.06%"
"07/01/2010","493.91","504.11","512.81","488.92","974.17K","-2.61%"
"08/01/2010","455.08","494.78","496.53","421.30","902.46K","-7.86%"
"09/01/2010","454.52","456.48","469.25","442.43","908.11K","-0.12%"
"10/01/2010","452.63","454.41","467.61","440.59","658.22K","-0.42%"
"11/01/2010","451.59","451.81","458.74","419.98","750.69K","-0.23%"
"12/01/2010","484.66","451.02","497.09","448.13","1.68M","7.32%"
"01/01/2011","510.60","485.72","525.70","475.48","695.44K","5.35%"
"02/01/2011","461.37","515.70","529.20","455.74","543.70K","-9.64%"
"03/01/2011","461.13","458.21","496.22","449.78","803.30K","-0.05%"
"04/01/2011","480.08","460.80","481.13","453.54","471.55K","4.11%"
"05/01/2011","421.37","483.30","488.02","371.03","529.24K","-12.23%"
"06/01/2011","432.54","422.98","461.93","420.88","770.87K","2.65%"
"07/01/2011","405.70","429.91","434.07","402.20","477.87K","-6.21%"
"08/01/2011","424.71","404.84","426.29","379.84","755.17K","4.69%"
"09/01/2011","427.60","429.49","475.45","424.64","1.08M","0.68%"
"10/01/2011","420.81","426.43","428.86","399.08","601.84K","-1.59%"
"11/01/2011","380.69","418.77","419.16","375.93","702.59K","-9.53%"
"12/01/2011","351.55","380.47","396.29","346.48","928.64K","-7.65%"
"01/01/2012","387.97","351.37","393.92","332.28","563.51K","10.36%"
"02/01/2012","423.64","388.70","431.11","383.05","1.18M","9.19%"
"03/01/2012","441.03","426.48","468.15","422.65","1.95M","4.10%"
"04/01/2012","473.77","440.95","478.87","436.67","1.77M","7.42%"
"05/01/2012","429.20","476.02","492.44","425.65","1.95M","-9.41%"
"06/01/2012","422.37","430.75","441.46","413.58","1.40M","-1.59%"
"07/01/2012","414.48","421.94","432.46","405.07","924.50K","-1.87%"
"08/01/2012","396.02","413.73","437.61","378.17","957.00K","-4.45%"
"09/01/2012","392.57","397.37","405.27","383.87","769.90K","-0.87%"
"10/01/2012","388.42","391.74","400.97","383.07","875.10K","-1.06%"
"11/01/2012","377.82","388.10","390.65","372.39","647.90K","-2.73%"
"12/01/2012","413.73","377.94","413.73","375.78","1.08M","9.50%"
"01/01/2013","479.79","415.50","490.89","413.68","1.83M","15.97%"
"02/01/2013","474.56","477.11","497.87","459.64","1.15M","-1.09%"
"03/01/2013","491.04","476.51","500.59","461.61","1.05M","3.47%"
"04/01/2013","474.51","490.66","518.46","466.56","926.70K","-3.37%"
"05/01/2013","518.39","474.54","526.58","470.81","1.50M","9.25%"
"06/01/2013","481.13","518.30","533.15","466.41","1.35M","-7.19%"
"07/01/2013","491.85","478.98","508.64","475.26","974.40K","2.23%"
"08/01/2013","472.70","490.90","513.34","462.13","951.10K","-3.89%"
"09/01/2013","492.63","473.56","492.65","469.30","982.60K","4.22%"
"10/01/2013","497.41","491.92","505.74","490.43","1.58M","0.97%"
"11/01/2013","507.78","499.21","513.25","495.68","1.96M","2.08%"
"12/01/2013","504.63","509.13","514.83","499.49","1.97M","-0.62%"
"01/01/2014","556.52","505.61","564.61","503.04","1.60M","10.28%"
"02/01/2014","586.48","555.51","596.40","548.56","2.55M","5.38%"
"03/01/2014","591.57","586.65","609.46","563.55","3.56M","0.87%"
"04/01/2014","578.00","590.93","608.89","556.47","2.15M","-2.29%"
"05/01/2014","562.02","578.45","580.11","508.51","2.07M","-2.76%"
"06/01/2014","578.13","560.29","582.26","548.47","1.82M","2.87%"
"07/01/2014","596.07","578.93","605.78","576.88","2.42M","3.10%"
"08/01/2014","636.65","594.66","640.19","592.04","2.53M","6.81%"
"09/01/2014","598.80","640.69","644.56","594.00","3.37M","-5.95%"
"10/01/2014","600.84","603.50","627.49","577.79","3.13M","0.34%"
"11/01/2014","566.58","603.44","608.68","565.10","2.70M","-5.70%"
"12/01/2014","545.63","566.22","582.42","513.06","2.62M","-3.70%"
"01/01/2015","576.07","545.43","586.76","538.82","2.23M","5.58%"
"02/01/2015","592.57","576.07","601.55","553.21","1.14M","2.86%"
"03/01/2015","551.13","591.75","602.40","544.87","2.22M","-6.99%"
"04/01/2015","562.40","550.80","572.76","536.87","1.66M","2.04%"
"05/01/2015","569.56","560.62","577.03","528.90","2.09M","1.27%"
"06/01/2015","593.05","571.15","598.98","567.81","3.16M","4.12%"
"07/01/2015","621.06","594.52","641.06","587.33","3.21M","4.72%"
"08/01/2015","564.75","617.12","619.69","511.13","2.57M","-9.07%"
"09/01/2015","562.64","565.75","576.13","551.47","1.97M","-0.37%"
"10/01/2015","607.37","563.39","608.01","561.73","2.63M","7.95%"
"11/01/2015","573.20","607.93","617.93","571.12","2.80M","-5.63%"
"12/01/2015","579.03","573.39","580.82","556.92","2.55M","1.02%"
"01/01/2016","545.25","579.03","579.97","513.82","2.65M","-5.83%"
"02/01/2016","559.37","545.27","573.63","530.23","1.90M","2.59%"
"03/01/2016","561.22","560.03","583.53","560.03","3.53M","0.33%"
"04/01/2016","598.37","560.64","601.79","554.30","2.66M","6.62%"
"05/01/2016","618.44","595.95","627.81","592.43","2.51M","3.35%"
"06/01/2016","632.26","618.18","637.46","597.68","2.80M","2.23%"
"07/01/2016","652.23","632.26","681.75","632.26","2.86M","3.16%"
